OS,Architecture,Make,Model,DownloadURL
Win10,64Bit,Dell,OptiPlex 7010,http://downloads.dell.com/FOLDER03631140M/1/7010-WIN10-A01-GR1XM.CAB
Win10,64Bit,Dell,Latitude E7250,http://downloads.dell.com/FOLDER03822003M/1/E7250_7250-WIN10-A03-6NCWP.CAB
Win10,64Bit,Dell,Precision M6800,http://downloads.dell.com/FOLDER03726876M/1/M6800-WIN10-A02-KNMGY.CAB
Win10,64Bit,Dell,Latitude E5440,http://downloads.dell.com/FOLDER03726016M/1/E5440-WIN10-A02-K52G5.CAB
Win10,64Bit,Dell,Latitude E5550,http://downloads.dell.com/FOLDER04003029M/1/E5550_5550-WIN10-A05-DG5XK.CAB
Win10,64Bit,Dell,Latitude E5430 non-vPro,http://downloads.dell.com/FOLDER03644304M/1/E5430-WIN10-A01-0CYM6.CAB
Win10,64Bit,Dell,Latitude E7240,http://downloads.dell.com/FOLDER03703216M/1/E7240-WIN10-A02-86H6P.CAB
Win10,64Bit,Dell,Latitude E5450,http://en.community.dell.com/techcenter/enterprise-client/w/wiki/11567.latitude-e54505450-windows-10-driver-pack
Win10,64Bit,Dell,Latitude E5530 non-vPro,http://downloads.dell.com/FOLDER03646873M/1/E5530-WIN10-A01-0740M.CAB
Win10,64Bit,Dell,Latitude E5540,http://downloads.dell.com/FOLDER03694237M/1/E5540-WIN10-A02-KFY4R.CAB
Win10,64Bit,Dell,Precision M4800,http://downloads.dell.com/FOLDER03994830M/1/M4800-WIN10-A03-5DVNT.CAB
Win10,64Bit,Dell,Precision M6700,http://downloads.dell.com/FOLDER03650102M/1/M6700-WIN10-A02-T08R2.CAB
Win10,64Bit,Dell,Latitude E7270,http://downloads.dell.com/FOLDER03962039M/1/E7270-WIN10-A04-PR2CK.CAB
Win10,64Bit,Dell,OptiPlex 7020,http://downloads.dell.com/FOLDER03740912M/1/7020-WIN10-A02-C3TMG.CAB
Win10,64Bit,Dell,Latitude E6330,http://downloads.dell.com/FOLDER03647285M/1/E6330-WIN10-A01-XD69T.CAB
Win10,64Bit,Dell,Latitude E5470,http://downloads.dell.com/FOLDER03941210M/1/E5470-WIN10-A05-C659Y.CAB
